cat,freq,n-grams
novidades,11,relacao
novidades,11,sabado
novidades,11,saida
novidades,11,ser milhoes
novidades,11,tecnica
novidades,11,tela
novidades,11,ter ser
novidades,11,tratar
novidades,11,venda
esportes,11,Riveros
esportes,11,aproveitar
esportes,11,atual
esportes,11,base
esportes,11,caso
esportes,11,contratar
esportes,11,decisao
esportes,11,lugar
esportes,11,nao ir
esportes,11,objetivo
esportes,11,preparar
esportes,11,primeiro tempo
esportes,11,problema
esportes,11,qualidade
esportes,11,sair
esportes,11,segunda
esportes,11,sofrer
esportes,11,tabela
esportes,11,torcedor
esportes,11,trazer
esportes,11,verdade
trabalhador,10,ai
trabalhador,10,assistente
trabalhador,10,bairro
trabalhador,10,curriculo mail
trabalhador,10,enfermagem
trabalhador,10,financeiro
